transaction_id,customer_id,product_id,sales_rep_id,transaction_date,quantity,unit_price,discount_amount,total_amount,status,payment_method
TXN00000001,,P000052,REP009,2025-03-04 11:43:35,7,27.8,0.79,193.84,completed,Cash
TXN00000002,C000217,P000164,REP014,2025-02-16 11:43:35,4,502.91,269.67,1741.98,completed,PayPal
TXN00000003,C000356,P000255,REP015,2025-04-18 11:43:35,3,11.35,3.93,30.11,completed,Debit Card
TXN00000004,C000221,P000080,REP011,2024-12-22 11:43:35,7,524.06,448.63,3219.77,completed,Cash
TXN00000005,C000126,P000257,REP008,2024-12-15 11:43:35,8,48.77,34.68,355.5,completed,Debit Card
TXN00000006,C000315,P000028,REP004,2025-03-18 11:43:35,6,106.7,37.95,602.24,completed,Bank Transfer
TXN00000007,C000168,P000001,REP006,2025-03-14 11:43:35,2,194.64,46.46,342.82,completed,Debit Card
TXN00000008,C000270,P000188,REP014,2024-12-26 11:43:35,9,258.65,165.62,2162.22,completed,PayPal
TXN00000009,C000153,P000007,REP013,2025-05-03 11:43:35,3,304.62,71.96,841.89,completed,PayPal
TXN00000010,C000185,P000186,REP005,2025-01-01 11:43:35,7,589.2,470.55,3653.83,completed,Bank Transfer
TXN00000011,C000205,P000154,REP006,2025-06-01 11:43:35,6,45.55,0.14,273.17,completed,Credit Card
TXN00000012,C000136,P000170,REP009,2025-04-12 11:43:35,9,31.11,35.14,244.86,completed,Bank Transfer
TXN00000013,C000044,P000279,REP006,2025-01-15 11:43:35,8,276.42,105.93,2105.43,completed,Bank Transfer
TXN00000014,C000183,P000055,REP007,2025-01-09 11:43:35,8,43.75,22.7,327.33,completed,PayPal
TXN00000015,C000166,P000248,REP006,2025-05-02 11:43:35,4,11.08,2.04,42.29,completed,PayPal
TXN00000016,C000081,P000272,REP014,2025-03-30 11:43:35,5,250.51,30.91,1221.62,completed,Credit Card
TXN00000017,C000201,P000091,REP007,2024-12-28 11:43:35,4,28.11,15.66,96.79,completed,Bank Transfer
TXN00000018,C000150,P000097,REP007,2025-02-13 11:43:35,6,658.4,92.94,3857.45,completed,Bank Transfer
TXN00000019,C000423,P000281,REP011,2025-02-10 11:43:35,8,64.15,32.55,480.67,completed,Credit Card
TXN00000020,C000006,P000292,REP005,2025-04-25 11:43:35,4,64.25,34.71,222.29,completed,PayPal
TXN00000021,C000387,P000123,REP002,2025-05-21 11:43:35,9,536.22,643.34,4182.66,completed,PayPal
TXN00000022,C000189,P000076,REP005,2025-05-30 11:43:35,8,162.73,15.48,1286.36,completed,Bank Transfer
TXN00000023,C000100,P000061,REP009,2025-05-28 11:43:35,4,792.64,53.12,3117.45,completed,Cash
TXN00000024,C000212,P000043,REP003,2025-01-04 11:43:35,7,170.77,74.95,1120.44,completed,Debit Card
TXN00000025,C000030,P000248,REP009,2025-03-10 11:43:35,2,10.44,2.73,18.15,completed,PayPal
TXN00000026,C000206,P000104,REP004,2025-03-22 11:43:35,7,108.79,57.72,703.79,completed,Debit Card
TXN00000027,C000364,P000235,REP014,2025-02-22 11:43:35,9,21.29,28.17,163.43,completed,Debit Card
TXN00000028,C000081,P000281,REP004,2025-05-29 11:43:35,10,60.8,83.26,524.77,completed,Cash
TXN00000029,C000376,P000245,REP007,2025-03-09 11:43:35,2,637.22,150.65,1123.79,completed,Credit Card
TXN00000030,C000429,P000129,REP006,2024-12-31 11:43:35,2,11.44,2.24,20.64,completed,Debit Card
TXN00000031,C000303,P000201,REP001,2025-01-24 11:43:35,6,30.07,6.6,173.82,completed,PayPal
TXN00000032,C000149,P000216,REP001,2025-01-26 11:43:35,5,126.73,63.43,570.23,completed,Bank Transfer
TXN00000033,C000491,P000020,REP013,2025-05-06 11:43:35,8,111.25,107.11,782.88,completed,Bank Transfer
TXN00000034,C000007,P000238,REP003,2025-05-20 11:43:35,4,102.3,39.97,369.23,completed,Debit Card
TXN00000035,C000257,P000103,REP002,2025-02-20 11:43:35,6,32.48,16.67,178.18,completed,Cash
TXN00000036,C000179,P000157,REP015,2024-12-30 11:43:35,6,82.02,14.18,477.92,completed,PayPal
TXN00000037,C000479,P000272,REP005,2025-05-04 11:43:35,10,268.18,33.93,2647.86,completed,Credit Card
TXN00000038,C000286,P000290,REP005,2025-02-12 11:43:35,3,25.38,3.3,72.85,completed,Bank Transfer
TXN00000039,C000230,P000177,REP014,2025-03-15 11:43:35,1,165.8,23.5,142.3,completed,Bank Transfer
TXN00000040,C000025,P000285,REP015,2025-03-07 11:43:35,1,199.82,14.49,185.33,completed,PayPal
TXN00000041,C000031,P000177,REP015,2025-02-03 11:43:35,10,173.66,65.95,1670.69,completed,Debit Card
TXN00000042,C000235,P000047,REP003,2025-01-08 11:43:35,1,278.06,32.31,245.75,completed,PayPal
TXN00000043,C000370,P000004,REP005,2025-04-11 11:43:35,1,91.5,8.71,82.79,completed,PayPal
TXN00000044,C000213,P000003,REP003,2025-03-28 11:43:35,4,166.49,43.92,622.03,completed,PayPal
TXN00000045,C000342,P000238,REP007,2025-04-20 11:43:35,5,97.46,71.8,415.51,completed,Debit Card
TXN00000046,C000085,P000111,REP012,2025-05-22 11:43:35,1,42.98,5.08,37.9,completed,Credit Card
TXN00000047,C000145,P000232,REP012,2025-02-08 11:43:35,4,153.81,70.7,544.53,completed,Debit Card
TXN00000048,C000358,P000025,REP013,2025-02-02 11:43:35,2,57.82,12.1,103.54,completed,Cash
TXN00000049,C000056,P000131,REP011,2025-03-26 11:43:35,4,14.39,3.23,54.34,completed,Credit Card
TXN00000050,C000005,P000234,REP003,2024-12-16 11:43:35,7,25.03,3.02,172.18,completed,Credit Card
TXN00000051,C000099,P000284,REP001,2025-04-22 11:43:35,4,16.78,9.11,58.0,completed,Debit Card
TXN00000052,C000306,P000095,REP007,2025-04-19 11:43:35,8,52.16,16.51,400.77,completed,PayPal
TXN00000053,C000419,P000274,REP009,2025-05-03 11:43:35,1,285.35,29.15,256.2,completed,Credit Card
TXN00000054,C000351,P000105,REP005,2025-04-13 11:43:35,2,194.58,13.94,375.22,completed,Bank Transfer
TXN00000055,C000440,P000052,REP013,2025-01-19 11:43:35,3,27.36,3.09,79.0,completed,Debit Card
TXN00000056,C000448,P000030,REP005,2025-01-18 11:43:35,8,320.34,359.14,2203.58,completed,Credit Card
TXN00000057,C000037,P000083,REP009,2025-03-15 11:43:35,7,36.28,19.08,234.85,completed,PayPal
TXN00000058,C000103,P000097,REP013,2025-04-27 11:43:35,2,628.45,23.66,1233.24,completed,Credit Card
TXN00000059,C000057,P000186,REP006,2025-01-26 11:43:35,10,584.22,850.22,4991.95,completed,Bank Transfer
TXN00000060,C000475,P000261,REP003,2025-01-29 11:43:35,5,657.37,136.88,3149.96,completed,Bank Transfer
TXN00000061,C000137,P000095,REP001,2025-05-07 11:43:35,10,50.07,34.47,466.28,completed,Credit Card
