transaction_id,order_id,customer_id,product_id,product_name,category,quantity,unit_price,item_total,discount_amount,discount_percent,tax_amount,final_total,transaction_date,transaction_time,store_id,store_location,sales_channel,sales_person,payment_method,customer_rating,is_return,notes
TXN-000001,ORD-572663,910,CLTH-004,Winter Jacket,Clothing,2,113.05,226.1,0,0,18.09,244.19,2025-05-27,13:31:57,STR-009,"Dallas, TX",Phone Order,Christopher Campbell DDS,Cash,,False,Them type travel south rock media and.
TXN-000002,ORD-590890,619,ELEC-001,Wireless Headphones,Electronics,4,81.42,325.68,0,0,26.05,351.73,2025-05-15,03:03:57,STR-003,"Chicago, IL",Phone Order,Bryan Kelley,Gift Card,,False,
TXN-000003,ORD-227677,153,HOME-003,Throw Pillow,Home & Garden,1,32.0,32.0,0,0,2.56,34.56,2025-05-14,21:20:32,STR-009,"Dallas, TX",In-Store,Ann Quinn,Apple Pay,,False,
TXN-000004,ORD-441807,663,HOME-004,Kitchen Knife Set,Home & Garden,3,61.78,185.34,0,0,14.83,200.17,2025-05-20,14:04:21,STR-009,"Dallas, TX",Mobile App,,PayPal,1,False,
TXN-000005,ORD-974273,584,ELEC-004,Laptop Charger,Electronics,5,45.57,227.85,0,0,18.23,246.08,2025-06-09,12:31:07,STR-010,"San Jose, CA",Online,,Debit Card,2,False,
TXN-000006,ORD-457454,466,CLTH-005,Baseball Cap,Clothing,2,25.24,50.48,2.97,5.9,3.8,51.31,2025-05-17,00:33:23,STR-010,"San Jose, CA",Mobile App,,Cash,,False,
TXN-000007,ORD-803198,794,BOOK-004,Business Strategy Guide,Books,4,28.31,113.24,7.76,6.9,8.44,113.92,2025-05-17,03:23:24,STR-007,"San Antonio, TX",Phone Order,Sophia Robertson,Debit Card,,False,
TXN-000008,ORD-778443,418,CLTH-001,Cotton T-Shirt,Clothing,1,19.78,19.78,3.07,15.5,1.34,18.05,2025-05-24,07:01:29,STR-010,"San Jose, CA",Online,,Google Pay,,False,
TXN-000009,ORD-708085,435,CLTH-001,Cotton T-Shirt,Clothing,2,19.94,39.88,0,0,3.19,43.07,2025-05-31,01:23:33,STR-010,"San Jose, CA",Mobile App,,Apple Pay,,False,
TXN-000010,ORD-686156,584,ELEC-005,USB Cable,Electronics,4,13.56,54.24,0,0,4.34,58.58,2025-05-24,04:59:12,STR-003,"Chicago, IL",Online,,Gift Card,1,False,
TXN-000011,ORD-452772,818,SPRT-003,Basketball,Sports,5,26.11,130.55,0,0,10.44,140.99,2025-05-22,13:33:05,STR-002,"Los Angeles, CA",Mobile App,,Debit Card,,False,
TXN-000012,ORD-394257,14,CLTH-003,Running Shoes,Clothing,5,75.73,378.65,88.91,23.5,23.18,312.92,2025-05-20,22:55:50,STR-005,"Phoenix, AZ",Mobile App,,Gift Card,,False,
TXN-000013,ORD-585254,125,CLTH-005,Baseball Cap,Clothing,1,26.1,26.1,0,0,2.09,28.19,2025-05-16,16:29:12,STR-003,"Chicago, IL",Online,Ian Miller,Credit Card,,False,
TXN-000014,ORD-395380,,ELEC-001,Wireless Headphones,Electronics,2,86.19,172.38,0,0,13.79,186.17,2025-05-26,14:24:04,STR-003,"Chicago, IL",In-Store,Kari Serrano,Google Pay,1,False,
TXN-000015,ORD-424747,199,SPRT-005,Water Bottle,Sports,3,22.63,67.89,0,0,5.43,73.32,2025-05-13,23:56:36,STR-006,"Philadelphia, PA",Online,,Apple Pay,,False,
TXN-000016,ORD-786392,223,ELEC-003,Bluetooth Speaker,Electronics,2,80.62,161.24,0,0,12.9,174.14,2025-05-19,15:49:55,STR-002,"Los Angeles, CA",In-Store,James Dixon,Gift Card,,False,
TXN-000017,ORD-571967,79,SPRT-001,Yoga Mat,Sports,3,41.19,123.57,0,0,9.89,133.46,2025-05-19,19:22:19,STR-001,"New York, NY",Online,,Apple Pay,,False,
TXN-000018,ORD-604085,528,SPRT-005,Water Bottle,Sports,1,23.37,23.37,5.4,23.1,1.44,19.41,2025-05-18,00:56:01,STR-003,"Chicago, IL",In-Store,April Strickland,Debit Card,4,False,
TXN-000019,ORD-291981,479,SPRT-001,Yoga Mat,Sports,3,33.11,99.33,10.46,10.5,7.11,95.98,2025-05-19,20:03:53,STR-008,"San Diego, CA",Phone Order,Eric Sanders,Google Pay,3,True,
TXN-000020,ORD-794886,,ELEC-003,Bluetooth Speaker,Electronics,1,100.83,100.83,0,0,8.07,108.9,2025-06-24,04:21:05,STR-005,"Phoenix, AZ",Phone Order,Susan Lee,Cash,4,False,
TXN-000021,ORD-222990,357,CLTH-005,Baseball Cap,Clothing,4,27.41,109.64,0,0,8.77,118.41,2025-06-08,19:00:50,STR-009,"Dallas, TX",Mobile App,,Cash,,True,
TXN-000022,ORD-690509,232,HOME-003,Throw Pillow,Home & Garden,5,28.96,144.8,0,0,11.58,156.38,2025-05-28,16:11:02,STR-008,"San Diego, CA",Phone Order,Kimberly Riddle,Gift Card,,False,
TXN-000023,ORD-332940,581,HOME-001,Coffee Maker,Home & Garden,3,98.81,296.43,68.37,23.1,18.24,246.3,2025-05-31,11:04:04,STR-008,"San Diego, CA",In-Store,Renee Taylor,Apple Pay,1,False,
TXN-000024,ORD-636313,240,ELEC-004,Laptop Charger,Electronics,2,42.57,85.14,0,0,6.81,91.95,2025-05-29,11:06:48,STR-008,"San Diego, CA",Online,,Cash,,False,
TXN-000025,ORD-124049,618,HOME-005,Desk Lamp,Home & Garden,2,28.22,56.44,0,0,4.52,60.96,2025-05-24,11:17:19,STR-009,"Dallas, TX",Phone Order,Margaret Cruz,Credit Card,,False,
TXN-000026,ORD-707329,510,ELEC-004,Laptop Charger,Electronics,5,38.07,190.35,0,0,15.23,205.58,2025-06-02,09:51:40,STR-005,"Phoenix, AZ",Phone Order,Rebecca Eaton,PayPal,4,False,Very herself item public cell agreement.
TXN-000027,ORD-284101,872,CLTH-003,Running Shoes,Clothing,999,79.63,79550.37,6605.21,8.3,5835.61,78780.77,2025-06-10,03:11:26,STR-003,"Chicago, IL",Mobile App,,Google Pay,1,False,
TXN-000028,ORD-502949,940,SPRT-004,Tennis Racket,Sports,5,94.04,470.2,0,0,37.62,507.82,2025-06-05,01:47:15,STR-008,"San Diego, CA",Phone Order,Amber Pennington,PayPal,4,False,
