order_id,customer_id,book_isbn,order_date,quantity,price
1,321,978-1-5037-5804-9,2011-05-11,5,28.55
2,31,978-1-5003-9915-3,1999-08-15,3,20.87
3,51,978-0-610-90352-6,1982-08-12,1,85.93
4,65,978-0-621-88119-6,1992-03-20,-1,40.56
5,215,978-0-8282-6618-5,1992-09-05,5,59.2
6,139,978-1-04-018089-1,1971-07-13,4,92.23
7,170,978-0-7848-4738-1,1992-08-12,4,52.23
8,224,978-0-202-69121-3,1971-03-14,2,66.5
9,94,978-0-584-90413-0,1991-02-26,4,16.9
10,293,978-0-634-98921-6,2017-06-17,2,81.85
11,441,978-1-82432-291-2,2020-11-15,1,83.39
12,366,978-0-9505849-8-0,2013-01-24,4,46.35
13,476,978-0-244-24805-5,2023-02-23,2,47.6
14,149,978-0-230-41431-0,2018-05-27,3,88.62
15,217,978-0-220-52840-9,1992-03-18,-1,95.35
16,188,978-0-511-36065-7,2024-11-15,5,42.45
17,463,978-1-9873-2488-4,2001-09-18,3,23.0
18,252,978-0-220-65945-5,2024-09-10,2,81.63
19,191,978-0-665-78788-1,1998-11-17,4,45.6
20,290,978-0-7753-8039-2,1980-05-12,2,57.53
21,51,978-1-4530-7013-0,1980-01-03,3,15.73
22,349,978-0-400-78235-5,1980-01-25,2,93.61
23,103,978-1-395-36990-3,1994-07-25,4,26.01
24,71,978-0-8377-7250-9,2017-04-01,4,16.16
25,267,978-0-7304-6465-5,1980-10-28,1,44.17
26,108,978-1-4747-0274-4,2021-06-12,5,19.14
27,251,978-0-7188-7092-8,2020-02-30,4,85.59
28,447,978-0-287-95329-9,2020-02-30,2,93.01
29,292,978-1-5450-2723-3,1998-11-15,5,85.5
30,282,978-1-02-973088-8,2014-10-29,5,28.35
31,488,978-1-73127-877-7,1977-09-21,2,16.04
32,360,978-0-7169-5421-7,1986-07-04,1,16.23
33,74,978-1-9831-4271-0,1997-11-26,4,44.64
34,233,978-1-75396-095-7,2010-11-17,2,37.77
35,302,INVALID,2010-12-08,5,9.67
36,168,978-0-10-072704-5,2011-05-01,4,
37,196,978-0-11-068031-6,2011-06-22,1,75.47
38,225,978-0-343-37977-3,1984-04-15,1,39.4
39,220,978-0-8463-1253-6,1977-01-03,2,93.06
40,249,978-1-07-138951-5,2015-12-17,-1,71.65
41,187,978-1-335-61793-4,1978-07-21,3,54.1
42,17,978-0-444-90895-7,2020-02-30,4,
43,400,978-0-346-24923-3,1991-09-11,1,49.11
44,271,978-0-15-909801-1,1998-08-26,-1,36.02
45,459,978-0-87602-731-8,1993-12-24,5,46.65
46,355,978-0-14-477215-5,1996-05-18,2,15.64
47,490,978-0-225-31741-1,2020-02-30,-1,41.99
48,195,978-1-04-362463-7,1988-10-04,4,68.25
49,55,978-1-116-16461-9,1971-08-19,2,78.84
50,280,978-0-313-57602-7,1970-07-07,4,23.61
51,304,978-0-89753-257-0,1984-03-12,3,49.77
52,303,978-0-05-167083-4,1985-10-23,1,25.98
53,51,978-1-58357-252-8,1981-06-13,2,9.77
54,482,978-0-9724885-5-6,1989-04-08,1,12.53
55,441,978-1-4709-3752-2,1991-09-18,2,64.68
56,96,978-0-85366-979-1,2005-06-05,3,85.79
57,313,978-0-342-35129-9,2012-01-01,1,86.58
58,204,978-1-5496-5108-3,1980-06-18,2,33.47
59,317,978-0-227-28669-2,2018-07-24,3,24.3
60,181,978-0-236-06368-0,1994-04-19,4,18.38
61,318,978-1-79117-272-5,2024-04-21,5,64.03
62,337,978-0-00-349063-3,2016-05-29,4,48.15
63,288,978-0-89666-327-5,2022-08-18,5,10.13
64,252,978-0-338-69393-8,1995-11-09,4,18.18
65,363,978-0-646-65200-9,2012-01-09,3,94.47
66,432,978-1-86247-440-6,1988-07-09,2,11.23
67,23,978-0-7176-9929-2,1972-10-15,2,62.45
68,140,978-0-635-90768-4,2006-02-01,3,48.62
69,159,978-1-02-678840-0,1975-01-08,5,47.34
70,183,978-0-9500296-3-4,1974-04-22,5,18.47
71,345,978-0-8165-5275-7,1974-01-31,3,13.9
72,497,978-1-249-83028-3,1978-07-31,4,83.49
73,409,978-1-58645-446-3,1974-01-25,5,
74,482,978-0-280-27280-9,1985-06-25,2,59.97
75,353,978-0-453-03945-1,1974-05-24,4,54.89
76,134,978-0-477-10347-3,1978-02-05,3,50.99
77,320,978-1-00-130442-7,2018-01-28,2,57.74
78,106,978-0-287-16262-2,2020-08-22,3,34.64
79,338,978-0-641-25049-1,2018-04-23,3,71.87
80,474,978-1-5109-8745-6,2020-02-30,5,44.56
81,34,978-1-60790-420-5,2020-02-30,4,49.51
82,475,978-1-239-72187-4,2015-04-09,2,64.97
83,219,978-1-5258-7304-1,1985-05-21,4,87.42
84,415,978-0-904466-86-7,1985-05-15,2,34.4
85,21,978-1-877224-47-8,1982-11-14,5,
86,190,INVALID,1984-06-16,2,29.49
87,353,978-0-04-978594-6,1997-04-24,4,97.06
88,38,978-1-180-47462-1,1983-09-01,2,
89,330,978-1-59077-296-6,2020-02-30,5,98.75
90,49,978-0-514-73595-7,1998-05-27,2,48.65
91,105,978-0-404-60174-4,1979-12-04,3,79.63
92,215,978-0-8460-9796-9,2016-09-04,3,7.5
93,223,978-0-7898-2870-5,2021-09-08,3,43.54
94,143,978-1-934655-92-4,2025-02-06,2,47.04
95,45,978-0-545-16384-2,1983-12-12,1,9.25
96,373,978-0-280-82350-6,1983-04-27,3,47.92
97,377,978-0-914604-04-4,2003-10-29,4,81.1
98,450,978-1-58397-201-4,2020-11-13,2,17.42
99,91,978-1-4916-9918-8,2014-03-03,1,98.13
100,247,978-0-8345-0955-9,1995-01-20,2,87.7
101,81,978-0-208-32570-9,1973-03-21,5,88.09
102,90,978-0-340-74285-3,1972-11-24,1,
103,487,978-1-399-39154-2,2012-03-16,1,72.34
104,165,978-0-596-46622-0,2018-11-17,5,64.77
105,483,978-0-8362-4359-8,1997-04-07,3,7.07
106,215,978-1-63830-346-6,2016-01-21,1,43.44
107,119,978-0-85545-133-2,2005-09-16,5,38.04
108,132,978-1-84657-038-4,1993-05-01,5,88.33
109,474,978-0-634-11676-6,1986-07-29,5,97.18
110,413,978-1-4661-7401-6,1975-07-04,2,93.07
111,165,978-0-933682-92-4,1978-01-26,5,77.11
112,482,978-1-67991-453-9,1988-05-20,5,11.48
113,466,978-1-74946-884-9,2000-06-29,3,26.58
114,148,978-0-242-33536-8,1996-05-21,3,67.04
115,87,978-1-56774-844-4,1970-06-10,2,42.77
116,15,978-1-81139-393-2,2020-02-30,2,73.16
117,136,978-0-920997-99-4,1971-07-13,4,65.02
118,485,978-1-5497-2586-9,2011-07-05,4,87.7
119,9,978-1-178-97117-0,2010-08-13,4,6.51
120,249,978-1-219-08870-6,2023-09-18,3,95.26
121,207,978-0-7879-3627-3,2010-09-30,2,19.37
122,317,978-1-269-04915-3,2004-02-16,4,83.37
123,222,978-0-7467-7913-2,1975-04-20,2,58.31
124,476,978-1-61351-080-3,2022-09-02,5,13.24
125,239,978-1-106-14654-0,1987-02-02,1,9.78
126,127,978-1-369-35574-1,2022-04-25,5,17.4
127,320,978-1-327-61897-0,1976-11-28,3,56.99
128,78,978-1-927248-07-2,2001-01-23,4,57.54
129,308,978-1-920291-62-4,1974-01-20,4,28.82
130,216,978-1-359-68655-8,1982-04-05,1,62.77
