transaction_id,customer_id,amount,transaction_date,merchant_category,transaction_type,location,is_fraud
TXN00001,CUST047,2044.3,2024-03-18 08:50:45,ONLINE,CREDIT,OREGON,1
TXN00002,CUST017,231.39,2024-03-15 21:40:29,CLOTHING,DEBIT,MICHIGAN,0
TXN00003,CUST044,607.4,2024-01-27 08:56:55,CLOTHING,DEBIT,UNKNOWN,1
TXN00004,CUST021,345.61,2024-03-14 10:32:55,ATM,DEBIT,HAWAII,0
TXN00005,CUST044,57.98,2024-03-21 16:43:57,RESTAURANT,DEBIT,UNKNOWN,0
TXN00006,CUST023,79.7,2024-01-07 15:20:54,CLOTHING,CREDIT,MONTANA,0
TXN00007,CUST108,479.58,2024-03-17 17:53:16,HOTEL,DEBIT,ILLINOIS,0
TXN00008,CUST030,87.28,2024-02-04 08:07:38,GAS_STATION,DEBIT,MONTANA,0
TXN00009,CUST008,1338.21,2024-01-14 22:16:49,ELECTRONICS,DEBIT,FLORIDA,0
TXN00010,CUST033,51.43,2024-01-15 18:48:28,ATM,DEBIT,COLORADO,0
TXN00011,CUST032,539.04,2024-01-04 22:20:32,ELECTRONICS,DEBIT,WASHINGTON,0
TXN00012,CUST012,224.51,2024-03-29 17:38:47,GROCERY,DEBIT,ARIZONA,0
TXN00013,CUST010,478.52,2024-02-24 09:42:09,HOTEL,DEBIT,COLORADO,0
TXN00014,CUST039,30.81,2024-01-10 08:37:13,CLOTHING,DEBIT,COLORADO,0
TXN00015,CUST059,72.65,2024-02-08 18:09:40,PHARMACY,DEBIT,CALIFORNIA,0
TXN00016,CUST022,84.15,2024-02-08 09:01:02,ATM,DEBIT,OREGON,0
TXN00017,CUST137,34.53,2024-01-25 14:04:18,PHARMACY,CREDIT,CALIFORNIA,0
TXN00018,CUST014,1278.65,2024-03-06 12:47:05,HOTEL,DEBIT,MICHIGAN,1
TXN00019,CUST018,2672.12,2024-01-30 15:49:57,JEWELRY,CREDIT,TEXAS,1
TXN00020,CUST024,1842.52,2024-01-16 15:21:58,ONLINE,DEBIT,FLORIDA,1
TXN00021,CUST173,317.52,2024-01-24 08:12:24,ATM,DEBIT,ILLINOIS,0
TXN00022,CUST193,36.07,2024-02-05 12:40:10,GAS_STATION,DEBIT,MONTANA,0
TXN00023,CUST016,203.84,2024-03-28 22:37:46,HOTEL,DEBIT,MONTANA,0
TXN00024,CUST019,534.27,2024-02-16 18:20:32,JEWELRY,DEBIT,ILLINOIS,0
TXN00025,CUST013,780.41,2024-01-16 17:32:34,ONLINE,CREDIT,ILLINOIS,0
TXN00026,CUST028,59.46,2024-01-07 22:00:40,PHARMACY,CREDIT,COLORADO,0
TXN00027,CUST190,270.66,2024-03-13 08:25:45,ATM,CREDIT,MICHIGAN,0
