product_id,product_name,category,price,stock_quantity,stock_status
1,Product_Sports_0001,Sports,94.19,464,In Stock
2,Product_Clothing_0002,Clothing,205.72,489,In Stock
3,Product_Home & Garden_0003,Home & Garden,373.21,205,In Stock
4,Product_Toys_0004,Toys,32.14,124,In Stock
5,Product_Sports_0005,Sports,111.38,182,In Stock
6,Product_Home & Garden_0006,Home & Garden,30.94,126,In Stock
7,Product_Electronics_0007,Electronics,673.57,79,In Stock
8,Product_Clothing_0008,Clothing,271.88,147,In Stock
9,Product_Sports_0009,Sports,389.57,175,In Stock
10,Product_Books_0010,Books,19.67,170,In Stock
11,Product_Clothing_0011,Clothing,109.55,203,In Stock
12,Product_Clothing_0012,Clothing,208.43,165,In Stock
13,Product_Books_0013,Books,25.42,478,In Stock
14,Product_Electronics_0014,Electronics,93.17,24,Medium Stock
15,Product_Clothing_0015,Clothing,50.09,66,In Stock
16,Product_Beauty_0016,Beauty,30.19,244,In Stock
17,Product_Sports_0017,Sports,169.62,373,In Stock
18,Product_Electronics_0018,Electronics,1634.82,25,Medium Stock
19,Product_Books_0019,Books,19.43,453,In Stock
20,Product_Toys_0020,Toys,18.6,440,In Stock
21,Product_Clothing_0021,Clothing,230.57,343,In Stock
22,Product_Sports_0022,Sports,133.48,246,In Stock
23,Product_Electronics_0023,Electronics,1723.25,43,Medium Stock
24,Product_Clothing_0024,Clothing,74.8,450,In Stock
25,Product_Home & Garden_0025,Home & Garden,456.46,497,In Stock
26,Product_Electronics_0026,Electronics,1543.32,25,Medium Stock
27,Product_Books_0027,Books,27.02,467,In Stock
28,Product_Sports_0028,Sports,387.18,459,In Stock
29,Product_Clothing_0029,Clothing,60.22,425,In Stock
30,Product_Toys_0030,Toys,137.1,243,In Stock
31,Product_Home & Garden_0031,Home & Garden,293.03,396,In Stock
32,Product_Sports_0032,Sports,314.89,205,In Stock
33,Product_Toys_0033,Toys,91.1,259,In Stock
34,Product_Clothing_0034,Clothing,199.11,392,In Stock
35,Product_Home & Garden_0035,Home & Garden,303.38,198,In Stock
36,Product_Home & Garden_0036,Home & Garden,89.2,73,In Stock
37,Product_Home & Garden_0037,Home & Garden,350.1,90,In Stock
38,Product_Beauty_0038,Beauty,81.6,151,In Stock
39,Product_Electronics_0039,Electronics,858.64,76,In Stock
40,Product_Beauty_0040,Beauty,70.74,489,In Stock
41,Product_Sports_0041,Sports,215.21,337,In Stock
42,Product_Clothing_0042,Clothing,,209,In Stock
43,Product_Electronics_0043,Electronics,1073.54,53,In Stock
44,Product_Clothing_0044,Clothing,38.78,407,In Stock
45,Product_Home & Garden_0045,Home & Garden,257.29,130,In Stock
46,Product_Sports_0046,Sports,304.28,109,In Stock
47,Product_Sports_0047,Sports,178.58,350,In Stock
48,Product_Books_0048,Books,33.08,208,In Stock
49,Product_Home & Garden_0049,Home & Garden,304.65,69,In Stock
50,Product_Toys_0050,Toys,,262,In Stock
51,Product_Toys_0051,Toys,20.16,431,In Stock
52,Product_Clothing_0052,Clothing,100.68,74,In Stock
53,Product_Books_0053,Books,15.25,247,In Stock
54,Product_Beauty_0054,Beauty,126.85,201,In Stock
55,Product_Sports_0055,Sports,196.91,307,In Stock
56,Product_Toys_0056,Toys,167.84,158,In Stock
57,Product_Home & Garden_0057,Home & Garden,355.41,151,In Stock
58,Product_Books_0058,Books,33.52,464,In Stock
59,Product_Clothing_0059,Clothing,149.38,440,In Stock
60,Product_Electronics_0060,Electronics,746.83,44,Medium Stock
61,Product_Sports_0061,Sports,382.46,114,In Stock
62,Product_Toys_0062,Toys,115.59,128,In Stock
63,Product_Books_0063,Books,17.43,388,In Stock
64,Product_Sports_0064,Sports,51.5,357,In Stock
65,Product_Clothing_0065,Clothing,207.14,77,In Stock
66,Product_Clothing_0066,Clothing,33.96,187,In Stock
67,Product_Beauty_0067,Beauty,56.89,159,In Stock
68,Product_Electronics_0068,Electronics,195.84,67,In Stock
69,Product_Clothing_0069,Clothing,69.84,366,In Stock
70,Product_Beauty_0070,Beauty,58.43,364,In Stock
71,Product_Beauty_0071,Beauty,38.47,318,In Stock
72,Product_Home & Garden_0072,Home & Garden,348.7,359,In Stock
73,Product_Sports_0073,Sports,250.42,176,In Stock
74,Product_Toys_0074,Toys,53.42,412,In Stock
75,Product_Home & Garden_0075,Home & Garden,443.74,432,In Stock
