item_id,order_id,product_id,quantity,unit_price,line_total
1,1,356,1,368.18,368.18
2,2,912,1,125.66,125.66
3,3,358,1,256.97,256.97
4,4,813,1,157.71,157.71
5,4,206,2,59.53,119.06
6,4,64,1,73.54,73.54
7,5,304,2,466.19,932.38
8,5,581,2,287.55,575.1
9,7,845,1,213.93,213.93
10,8,718,1,328.15,328.15
11,9,812,1,323.4,323.4
12,9,970,1,66.66,66.66
13,9,674,1,475.29,475.29
14,10,429,2,363.92,727.84
15,10,293,4,287.5,1150.0
16,11,766,1,352.11,352.11
17,11,568,1,257.63,257.63
18,12,16,2,485.84,971.68
19,13,345,1,200.06,200.06
20,13,395,1,23.47,23.47
21,14,982,1,375.26,375.26
22,15,720,1,342.12,342.12
23,15,456,1,285.79,285.79
24,15,707,1,264.78,264.78
25,17,149,3,418.15,1254.45
26,17,684,2,112.37,224.74
27,17,550,1,331.42,331.42
28,18,530,1,480.99,480.99
29,19,797,1,420.58,420.58
30,19,214,1,297.12,297.12
31,19,264,1,60.62,60.62
32,20,220,1,298.62,298.62
33,20,440,1,126.47,126.47
34,20,658,1,147.61,147.61
35,21,782,1,164.83,164.83
36,22,719,1,144.82,144.82
37,22,53,1,317.18,317.18
38,22,250,2,228.6,457.2
39,23,206,1,159.24,159.24
40,23,78,1,171.27,171.27
41,23,701,1,294.34,294.34
42,24,645,1,62.05,62.05
43,24,149,1,161.55,161.55
44,24,288,1,318.32,318.32
45,25,609,1,32.99,32.99
46,25,717,3,155.75,467.25
47,26,873,1,46.92,46.92
48,27,603,1,394.43,394.43
49,28,866,3,417.84,1253.52
50,28,983,1,78.25,78.25
51,29,324,1,113.13,113.13
52,29,329,4,499.57,1998.28
53,29,970,1,205.3,205.3
54,30,443,1,97.83,97.83
55,30,507,2,182.53,365.06
56,31,920,1,188.68,188.68
57,32,152,1,315.15,315.15
58,32,452,1,219.2,219.2
59,32,16,1,356.45,356.45
60,32,672,2,430.76,861.52
61,33,684,1,115.99,115.99
62,33,469,1,53.73,53.73
63,34,428,4,32.42,129.68
64,35,1,1,365.05,365.05
65,36,290,1,355.37,355.37
66,37,305,2,14.77,29.54
67,38,569,1,212.12,212.12
68,39,676,1,97.58,97.58
69,39,399,1,112.01,112.01
70,39,260,1,467.61,467.61
71,39,823,1,409.54,409.54
72,40,570,1,425.42,425.42
73,40,361,3,225.91,677.73
74,41,219,1,210.76,210.76
75,42,824,1,371.61,371.61
76,43,280,1,360.78,360.78
77,43,225,1,454.68,454.68
