policy_id,customer_id,policy_type,policy_start_date,monthly_premium,coverage_amount,vehicle_count,is_active,current_discount
POL-3356886,CUST-777572,Home,2017-05-21,117.51,677000,0,1,0.035
POL-32868828,CUST-234053,Home,2020-03-03,573.69,1971000,0,1,0.148
POL-98847493,CUST-107473,Auto,2017-11-13,88.05,140000,2,1,0.007
POL-11668732,CUST-619176,Health,2024-10-08,916.02,418000,0,1,0.055
POL-4265799,CUST-31244,Business,2022-09-02,1056.38,155000,0,1,0.04
POL-29345092,CUST-243962,Motorcycle,2017-02-01,70.83,30000,2,0,0.084
POL-80801586,CUST-27824,Home,2024-02-03,365.95,853000,0,1,0.151
POL-26687537,CUST-750800,Auto,2025-01-15,277.03,306000,1,0,0.095
POL-56306997,CUST-231148,RV,2024-10-06,505.22,215000,2,1,0.176
POL-79089901,CUST-291704,Auto,2023-02-19,258.54,430000,3,0,0.214
POL-21429110,CUST-732052,Home,2015-08-09,366.09,1051000,0,1,0.091
POL-45667651,CUST-291369,Umbrella,2022-09-07,342.11,3811000,0,1,0.234
POL-28898923,CUST-800581,Home,2018-02-20,526.39,459000,0,1,0.061
POL-13718431,CUST-97251,Boat,2021-03-21,427.67,361000,1,1,0.211
POL-12981052,CUST-376417,Auto,2021-12-15,141.84,42000,3,1,0.017
POL-81030736,CUST-277370,Business,2021-05-06,2252.74,2740000,0,1,0.125
POL-97942942,CUST-481741,Boat,2016-03-25,285.72,98000,1,1,0.135
POL-16753883,CUST-967096,Business,2024-08-13,1356.87,4995000,0,1,0.055
POL-10576383,CUST-578856,Life,2021-12-07,114.17,145000,0,1,0.215
POL-84374605,CUST-648564,Life,2020-06-24,134.8,881000,0,1,0.149
POL-77490893,CUST-201629,Motorcycle,2021-08-24,75.79,71000,3,0,0.215
POL-6150444,CUST-693384,Auto,2016-09-04,263.68,85000,3,1,0.085
POL-38840994,CUST-83667,Renters,2019-05-16,30.22,69000,0,1,0.181
POL-13556182,CUST-398591,Renters,2019-06-15,49.02,33000,0,1,0.027
POL-60855700,CUST-666563,Renters,2020-03-22,44.46,77000,0,1,0.038
POL-21831063,CUST-388162,Life,2021-09-12,119.39,866000,0,0,0.23
POL-28119557,CUST-702729,Business,2021-07-15,1148.31,263000,0,1,0.091
POL-94196727,CUST-982153,Renters,2020-01-13,23.38,42000,0,1,0.237
POL-81756179,CUST-665822,Home,2016-09-15,612.34,1811000,0,1,0.19
POL-71691040,CUST-764544,Life,2018-05-28,47.47,548000,0,0,0.041
POL-21931511,CUST-484714,RV,2019-08-29,910.7,161000,1,0,0.189
POL-36231783,CUST-970342,Health,2021-12-12,912.95,259000,0,0,0.162
POL-29476249,CUST-717870,Boat,2024-12-19,739.77,262000,1,1,0.016
POL-7507864,CUST-240174,Auto,2021-01-04,238.84,146000,2,1,0.177
POL-42339391,CUST-420651,Auto,2016-01-15,141.81,500000,1,1,0.018
POL-8883684,CUST-221231,Health,2020-01-18,478.48,304000,0,1,0.033
POL-96356822,CUST-329963,Business,2025-02-21,1652.42,2138000,0,1,0.202
POL-87971488,CUST-523481,Health,2019-02-10,294.33,395000,0,1,0.106
POL-86282117,CUST-481141,Boat,2022-03-23,718.3,53000,1,1,0.182
POL-35551614,CUST-146413,Home,2017-12-03,274.06,499000,0,1,0.035
POL-99990728,CUST-588637,Life,2019-09-09,73.75,312000,0,1,0.019
POL-35264581,CUST-783300,RV,2024-08-30,368.54,221000,1,0,0.232
POL-57503414,CUST-941435,Health,2025-06-09,366.31,305000,0,1,0.216
POL-53606628,CUST-379580,Auto,2025-06-02,124.45,26000,4,1,0.196
POL-18566572,CUST-534277,Boat,2019-03-23,371.15,390000,2,1,0.074
POL-12201654,CUST-792495,Auto,2023-11-21,236.38,309000,1,1,0.014
POL-14716857,CUST-160265,Business,2016-04-17,1453.58,4555000,0,1,0.24
POL-91332642,CUST-442666,Home,2018-03-20,695.94,244000,0,1,0.169
POL-51642594,CUST-400156,Health,2016-07-28,603.78,349000,0,1,0.149
POL-71016525,CUST-263626,Business,2023-06-16,663.97,4996000,0,1,0.079
POL-1540956,CUST-713328,Renters,2024-11-26,22.15,51000,0,1,0.099
POL-91497616,CUST-927767,Renters,2017-06-10,31.0,20000,0,1,0.155
POL-35812670,CUST-805934,Business,2024-08-17,2492.19,715000,0,1,0.126
POL-14972279,CUST-307757,Life,2021-04-12,188.32,974000,0,1,0.061
POL-21227574,CUST-475763,Renters,2022-11-21,20.52,81000,0,1,0.153
POL-96917555,CUST-918398,RV,2015-07-20,305.48,264000,2,0,0.026
POL-67187530,CUST-798975,Life,2019-12-22,71.28,983000,0,1,0.138
POL-68139880,CUST-956959,Renters,2018-07-14,24.86,38000,0,1,0.051
POL-83926371,CUST-312942,Renters,2017-04-21,32.69,43000,0,0,0.212
POL-81734598,CUST-208573,Home,2024-02-17,544.0,1839000,0,1,0.001
POL-50185867,CUST-799550,Life,2018-02-03,136.49,325000,0,1,0.11
POL-72394227,CUST-999816,Motorcycle,2018-03-29,97.31,25000,1,0,0.173
POL-76758,CUST-628038,Life,2024-07-07,120.48,925000,0,1,0.138
POL-65579548,CUST-20422,Motorcycle,2021-01-03,45.29,50000,3,1,0.199
POL-48718453,CUST-921406,Auto,2017-05-25,322.71,135000,2,1,0.088
POL-32138745,CUST-60738,RV,2020-09-21,918.89,157000,1,0,0.059
POL-76149359,CUST-992948,Life,2019-08-04,195.84,900000,0,1,0.103
POL-11496211,CUST-767460,Life,2016-10-31,153.9,398000,0,1,0.103
POL-9289546,CUST-797549,Health,2023-10-05,466.81,463000,0,1,0.096
POL-16879290,CUST-134628,Auto,2024-07-22,311.82,142000,2,1,0.115
POL-73793389,CUST-173148,Renters,2023-07-31,43.72,40000,0,1,0.165
POL-70823176,CUST-914812,Motorcycle,2020-01-02,69.39,19000,3,1,0.127
POL-28427073,CUST-974036,RV,2022-09-10,531.8,57000,1,1,0.065
POL-97969689,CUST-723378,Business,2024-09-01,2425.07,2327000,0,1,0.149
POL-95690391,CUST-326858,Umbrella,2018-11-30,491.42,2316000,0,1,0.246
POL-90152297,CUST-681446,Home,2022-04-13,369.64,1309000,0,1,0.011
POL-58800797,CUST-943313,Motorcycle,2021-11-05,30.2,81000,2,1,0.017
POL-60597444,CUST-126882,Umbrella,2024-04-19,449.26,3782000,0,1,0.18
POL-30158366,CUST-67136,Renters,2019-09-17,32.75,97000,0,1,0.101
POL-2823170,CUST-616886,Renters,2021-03-30,34.4,35000,0,1,0.235
