interaction_id,customer_id,interaction_type,interaction_date,channel,duration_minutes,resolution_status,satisfaction_score
INT_000001,CUST_005275,Email Inquiry,2024-11-09,Email,5,Resolved,9
INT_000002,CUST_008812,Chat Session,2025-01-14,Email,10,Resolved,8
INT_000003,CUST_004824,Email Inquiry,2023-11-23,Chat,6,Resolved,7
INT_000004,CUST_005311,Email Inquiry,2025-04-26,In-Store,9,Escalated,5
INT_000005,CUST_002871,Product Question,2025-06-11,Chat,16,Resolved,4
INT_000006,CUST_008362,Support Call,2025-06-12,Chat,16,Closed,3
INT_000007,CUST_002337,Feedback,2025-05-11,Phone,18,Resolved,7
INT_000008,CUST_007403,Return Request,2024-10-08,Chat,13,Resolved,3
INT_000009,CUST_004900,Feedback,2025-03-27,In-Store,11,Resolved,9
INT_000010,CUST_002856,Complaint,2023-10-01,Phone,56,Resolved,2
INT_000011,CUST_003449,Email Inquiry,2023-10-13,Chat,23,Resolved,6
INT_000012,CUST_004255,Chat Session,2024-12-25,Chat,17,Resolved,10
INT_000013,CUST_006826,Return Request,2024-03-12,Phone,19,Resolved,5
INT_000014,CUST_001860,Email Inquiry,2024-09-07,Email,20,Resolved,6
INT_000015,CUST_004567,Chat Session,2025-01-31,Chat,22,Resolved,7
INT_000016,CUST_000132,Feedback,2025-04-30,Email,22,Resolved,7
INT_000017,CUST_001335,Chat Session,2025-05-05,Email,11,Pending,5
INT_000018,CUST_005702,Complaint,2025-04-30,Email,16,Resolved,6
INT_000019,CUST_002974,Support Call,2023-08-18,Phone,23,Resolved,7
INT_000020,CUST_002185,Chat Session,2025-04-14,In-Store,20,Resolved,8
INT_000021,CUST_000848,Chat Session,2025-01-27,Email,20,Resolved,9
INT_000022,CUST_007107,Feedback,2023-10-25,Email,14,Resolved,8
INT_000023,CUST_008758,Email Inquiry,2024-03-02,Phone,7,Escalated,7
INT_000024,CUST_006389,Complaint,2024-02-02,Phone,30,Pending,7
INT_000025,CUST_008701,Chat Session,2024-07-26,In-Store,24,Resolved,6
INT_000026,CUST_004172,Product Question,2024-02-16,Social Media,21,Resolved,3
INT_000027,CUST_008745,Email Inquiry,2024-04-14,In-Store,19,Escalated,4
INT_000028,CUST_007227,Return Request,2024-10-28,Email,23,Resolved,7
INT_000029,CUST_004955,Billing Issue,2024-05-25,Phone,48,Pending,3
INT_000030,CUST_002063,Billing Issue,2025-03-28,In-Store,37,Pending,1
INT_000031,CUST_009852,Billing Issue,2024-04-08,Phone,22,Resolved,4
INT_000032,CUST_002199,Chat Session,2025-04-28,In-Store,19,Resolved,9
INT_000033,CUST_009885,Return Request,2025-04-28,Phone,22,Pending,6
INT_000034,CUST_004793,Support Call,2023-11-16,Phone,42,Resolved,8
