transaction_id,customer_id,product_id,product_category,purchase_amount,purchase_date,channel,discount_used
TXN_00000001,CUST_008708,PROD_0426,Sports & Outdoors,63.17,2025-02-26,Phone,0
TXN_00000002,CUST_002472,PROD_0471,Sports & Outdoors,181.17,2025-05-23,Mobile App,0
TXN_00000003,CUST_007599,PROD_0166,Beauty & Health,100.27,2024-09-23,In-Store,0
TXN_00000004,CUST_004861,PROD_0401,Beauty & Health,167.72,2025-01-22,Online,0
TXN_00000005,CUST_000315,PROD_0493,Jewelry & Accessories,273.02,2025-02-24,In-Store,0
TXN_00000006,CUST_001939,PROD_0255,Automotive,725.94,2025-02-12,In-Store,0
TXN_00000007,CUST_004760,PROD_0129,Food & Beverages,167.41,2024-11-18,Online,0
TXN_00000008,CUST_003651,PROD_0045,Toys & Games,63.93,2023-08-01,In-Store,0
TXN_00000009,CUST_006419,PROD_0365,Beauty & Health,176.7,2024-11-16,In-Store,0
TXN_00000010,CUST_001356,PROD_0066,Jewelry & Accessories,250.79,2024-11-29,Online,0
TXN_00000011,CUST_007678,PROD_0302,Jewelry & Accessories,30.62,2025-01-16,Mobile App,0
TXN_00000012,CUST_003202,PROD_0117,Jewelry & Accessories,-262.22,2025-04-29,Online,1
TXN_00000013,CUST_004883,PROD_0379,Home & Garden,36.16,2025-03-15,In-Store,0
TXN_00000014,CUST_003425,PROD_0388,Home & Garden,141.17,2025-03-18,In-Store,0
TXN_00000015,CUST_007140,PROD_0169,Toys & Games,123.84,2024-10-21,Online,1
TXN_00000016,CUST_009896,PROD_0325,Books & Media,160.16,2024-09-18,In-Store,0
TXN_00000017,CUST_000674,PROD_0304,Food & Beverages,22.48,2025-05-12,Mobile App,1
TXN_00000018,CUST_007785,PROD_0307,Food & Beverages,171.66,2023-10-12,Mobile App,0
TXN_00000019,CUST_000032,PROD_0204,Toys & Games,156.96,2024-12-20,Online,0
TXN_00000020,CUST_003688,PROD_0124,Books & Media,123.95,2024-05-11,Phone,1
TXN_00000021,CUST_007105,PROD_0194,Automotive,938.29,2025-06-06,Online,1
TXN_00000022,CUST_009989,PROD_0499,Sports & Outdoors,56.97,2024-09-21,Online,0
