policy_id,customer_id,policy_type,coverage_amount,premium_amount,deductible,start_date,end_date,renewal_date,policy_status,agent_id,acquisition_channel
POL0000001,CUST005434,Travel,50000,6000.0,250,2022-02-18,2023-02-18,2023-02-18,Active,AGT086,Phone
POL0000002,CUST014993,Auto,100000,2000.0,250,2024-09-16,2025-09-16,2025-09-16,Active,AGT197,Referral
POL0000003,CUST009707,Health,250000,26000.0,500,2025-05-15,2026-05-15,2026-05-15,Active,AGT076,Online
POL0000004,CUST002174,Auto,250000,4000.0,500,2024-05-15,2025-05-15,2025-05-15,Active,AGT091,Agent
POL0000005,CUST002276,Home,122937,1278.54,2500,2022-10-26,2023-10-26,2023-10-26,Cancelled,AGT077,Online
POL0000006,CUST013978,Auto,50000,800.0,500,2023-11-09,2024-11-08,2024-11-08,Active,AGT154,Online
POL0000007,CUST007967,Auto,50000,800.0,500,2023-10-31,2024-10-30,2024-10-30,Active,AGT074,Agent
POL0000008,CUST010568,Home,215695,1380.45,2500,2021-09-29,2022-09-29,2022-09-29,Active,AGT106,Online
POL0000009,CUST002398,Health,1000000,80000.0,1000,2022-10-30,2023-10-30,2023-10-30,Active,AGT118,Agent
POL0000010,CUST012314,Life,205263,821.05,0,2021-04-10,2022-04-10,2022-04-10,Active,AGT169,Online
POL0000011,CUST012515,Health,100000,6400.0,1000,2020-07-16,2021-07-16,2021-07-16,Active,AGT109,Online
POL0000012,CUST002583,Life,274833,1099.33,0,2022-08-11,2023-08-11,2023-08-11,Active,AGT100,Online
POL0000013,CUST006774,Auto,50000,1300.0,1000,2024-11-14,2025-11-14,2025-11-14,Active,AGT130,Online
POL0000014,CUST004387,Auto,50000,1300.0,250,2025-01-18,2026-01-18,2026-01-18,Active,AGT009,Phone
POL0000015,CUST013688,Auto,100000,1600.0,500,2025-07-30,2026-07-30,2026-07-30,Active,AGT013,Referral
POL0000016,CUST007746,Auto,100000,2000.0,1000,2025-03-08,2026-03-08,2026-03-08,Active,AGT038,Walk-in
POL0000017,CUST004474,Life,330719,1322.88,0,2023-02-04,2024-02-04,2024-02-04,Active,AGT147,Agent
POL0000018,CUST001447,Health,250000,26000.0,1000,2024-04-27,2025-04-27,2025-04-27,Active,AGT190,Online
POL0000019,CUST012659,Auto,50000,800.0,500,2021-03-24,2022-03-24,2022-03-24,Active,AGT196,Agent
POL0000020,CUST009899,Life,637072,2548.29,0,2022-07-04,2023-07-04,2023-07-04,Active,AGT189,Phone
POL0000021,CUST000312,Home,332489,3457.89,5000,2021-06-08,2022-06-08,2022-06-08,Lapsed,AGT048,Referral
POL0000022,CUST011724,Health,100000,6400.0,2500,2025-08-09,2026-08-09,2026-08-09,Active,AGT032,Online
POL0000023,CUST001182,Auto,100000,2000.0,250,2020-05-12,2021-05-12,2021-05-12,Active,AGT108,Agent
POL0000024,CUST010365,Health,250000,26000.0,5000,2023-12-15,2024-12-14,2024-12-14,Cancelled,AGT014,Online
POL0000025,CUST008073,Life,136921,889.99,0,2021-04-13,2022-04-13,2022-04-13,Active,AGT112,Agent
POL0000026,CUST009145,Life,426130,2769.85,0,2020-05-22,2021-05-22,2021-05-22,Active,AGT088,Agent
POL0000027,CUST012951,Home,330142,2641.14,5000,2025-02-16,2026-02-16,2026-02-16,Active,AGT175,Referral
POL0000028,CUST004741,Life,164722,823.61,0,2024-02-22,2025-02-21,2025-02-21,Active,AGT034,Referral
POL0000029,CUST011361,Auto,25000,500.0,2000,2021-12-15,2022-12-15,2022-12-15,Lapsed,AGT198,Agent
POL0000030,CUST012259,Life,248028,992.11,0,2024-11-22,2025-11-22,2025-11-22,Active,AGT003,Online
POL0000031,CUST003728,Life,360208,1440.83,0,2023-01-08,2024-01-08,2024-01-08,Active,AGT102,Agent
POL0000032,CUST001642,Health,100000,8000.0,500,2020-12-23,2021-12-23,2021-12-23,Active,AGT027,Agent
POL0000033,CUST011345,Home,118972,761.42,2500,2023-09-13,2024-09-12,2024-09-12,Active,AGT053,Agent
POL0000034,CUST007983,Business,150493,1203.94,10000,2025-05-10,2026-05-10,2026-05-10,Active,AGT193,Phone
POL0000035,CUST003520,Auto,100000,1600.0,500,2021-02-16,2022-02-16,2022-02-16,Lapsed,AGT104,Online
POL0000036,CUST011529,Health,250000,16000.0,5000,2023-06-07,2024-06-06,2024-06-06,Active,AGT128,Agent
POL0000037,CUST003469,Travel,50000,6000.0,0,2021-10-31,2022-10-31,2022-10-31,Active,AGT098,Phone
POL0000038,CUST006311,Life,429085,1716.34,0,2025-11-24,2026-11-24,2026-11-24,Active,AGT009,Agent
POL0000039,CUST010234,Health,100000,6400.0,2500,2022-09-29,2023-09-29,2023-09-29,Active,AGT022,Phone
POL0000040,CUST014925,Travel,10000,1500.0,250,2022-05-21,2023-05-21,2023-05-21,Active,AGT044,Agent
POL0000041,CUST006073,Life,509275,2037.1,0,2022-05-15,2023-05-15,2023-05-15,Lapsed,AGT064,Online
POL0000042,CUST008022,Health,250000,20000.0,5000,2022-01-20,2023-01-20,2023-01-20,Lapsed,AGT041,Agent
POL0000043,CUST006012,Health,250000,20000.0,500,2022-11-13,2023-11-13,2023-11-13,Active,AGT016,Phone
POL0000044,CUST004539,Life,577477,2887.39,0,2023-12-15,2024-12-14,2024-12-14,Active,AGT042,Online
POL0000045,CUST000843,Auto,25000,500.0,2000,2024-07-22,2025-07-22,2025-07-22,Active,AGT150,Referral
POL0000046,CUST009526,Auto,100000,2000.0,2000,2021-08-03,2022-08-03,2022-08-03,Lapsed,AGT127,Agent
POL0000047,CUST006393,Home,256846,1643.81,2500,2023-11-24,2024-11-23,2024-11-23,Lapsed,AGT120,Online
POL0000048,CUST011170,Home,245553,1571.54,5000,2020-11-24,2021-11-24,2021-11-24,Active,AGT060,Phone
POL0000049,CUST006787,Travel,25000,3000.0,500,2022-09-28,2023-09-28,2023-09-28,Cancelled,AGT088,Agent
POL0000050,CUST003298,Auto,250000,6500.0,500,2024-05-25,2025-05-25,2025-05-25,Cancelled,AGT010,Agent
POL0000051,CUST006150,Life,1470745,9559.84,0,2024-05-03,2025-05-03,2025-05-03,Lapsed,AGT085,Agent
POL0000052,CUST002381,Home,155205,1241.64,500,2024-05-21,2025-05-21,2025-05-21,Active,AGT169,Referral
POL0000053,CUST014254,Auto,250000,4000.0,1000,2024-11-12,2025-11-12,2025-11-12,Active,AGT068,Agent
POL0000054,CUST013926,Home,124760,998.08,5000,2022-07-17,2023-07-17,2023-07-17,Active,AGT200,Referral
POL0000055,CUST006651,Life,423600,1694.4,0,2023-04-09,2024-04-08,2024-04-08,Active,AGT184,Agent
POL0000056,CUST001041,Life,126183,504.73,0,2020-07-04,2021-07-04,2021-07-04,Active,AGT013,Agent
POL0000057,CUST008077,Home,148123,1540.48,500,2023-05-09,2024-05-08,2024-05-08,Cancelled,AGT015,Online
POL0000058,CUST011488,Home,284814,1822.81,1000,2024-04-09,2025-04-09,2025-04-09,Active,AGT145,Online
POL0000059,CUST010280,Life,724920,2899.68,0,2025-06-10,2026-06-10,2026-06-10,Active,AGT053,Agent
POL0000060,CUST009567,Health,500000,40000.0,500,2025-06-03,2026-06-03,2026-06-03,Active,AGT015,Online
POL0000061,CUST010695,Life,305058,1220.23,0,2025-09-05,2026-09-05,2026-09-05,Active,AGT114,Referral
POL0000062,CUST014610,Health,250000,26000.0,5000,2021-10-20,2022-10-20,2022-10-20,Active,AGT096,Phone
POL0000063,CUST013537,Life,296803,1929.22,0,2021-08-02,2022-08-02,2022-08-02,Active,AGT077,Online
POL0000064,CUST008120,Life,648656,4216.26,0,2022-02-11,2023-02-11,2023-02-11,Cancelled,AGT059,Online
POL0000065,CUST014803,Home,150435,1564.52,2500,2021-06-30,2022-06-30,2022-06-30,Cancelled,AGT018,Agent
POL0000066,CUST012318,Life,415952,2703.69,0,2021-06-04,2022-06-04,2022-06-04,Lapsed,AGT133,Agent
POL0000067,CUST006508,Health,250000,16000.0,1000,2022-03-18,2023-03-18,2023-03-18,Active,AGT200,Agent
POL0000068,CUST003273,Auto,50000,1300.0,2000,2024-08-03,2025-08-03,2025-08-03,Active,AGT076,Online
POL0000069,CUST012356,Life,1716887,6867.55,0,2025-08-08,2026-08-08,2026-08-08,Active,AGT196,Phone
