payment_id,policy_id,customer_id,payment_date,payment_amount,payment_method,payment_status,late_payment_flag
PAY00000001,POL0070526,CUST005560,2025-07-03,533.33,Credit Card,Completed,0
PAY00000002,POL0003664,CUST009460,2024-06-16,166.67,Credit Card,Completed,0
PAY00000004,POL0009790,CUST004994,2025-07-03,216.67,Bank Transfer,Completed,0
PAY00000005,POL0027103,CUST007470,2020-05-26,937.5,Credit Card,Completed,0
PAY00000006,POL0006680,CUST009116,2022-06-06,647.9,Credit Card,Completed,0
PAY00000008,POL0055437,CUST014462,2025-05-10,104.35,Auto Pay,Completed,0
PAY00000009,POL0005409,CUST011254,2022-05-20,317.21,Check,Failed,1
PAY00000010,POL0050433,CUST010189,2022-08-20,4000.0,Bank Transfer,Completed,1
PAY00000011,POL0003898,CUST008832,2021-12-02,104.45,Auto Pay,Completed,0
PAY00000012,POL0039615,CUST003856,2024-06-03,111.14,Credit Card,Completed,0
PAY00000014,POL0041902,CUST002672,2025-02-25,793.84,Bank Transfer,Completed,1
PAY00000016,POL0054912,CUST011991,2023-05-08,83.33,Auto Pay,Failed,1
PAY00000017,POL0064772,CUST010175,2021-03-21,68.53,Cash,Failed,1
PAY00000018,POL0039915,CUST005230,2023-02-15,5000.0,Credit Card,Completed,0
PAY00000019,POL0020231,CUST005000,2022-09-16,185.11,Bank Transfer,Failed,1
PAY00000020,POL0040804,CUST005360,2024-05-03,1296.82,Bank Transfer,Completed,1
PAY00000021,POL0065704,CUST002174,2024-01-31,333.33,Auto Pay,Completed,0
PAY00000022,POL0003364,CUST003196,2023-08-11,37.3,Cash,Completed,0
PAY00000023,POL0073872,CUST011683,2021-03-13,974.22,Credit Card,Refunded,1
PAY00000024,POL0027216,CUST002196,2021-09-19,94.23,Cash,Failed,1
PAY00000025,POL0004224,CUST009484,2024-05-03,147.17,Bank Transfer,Completed,1
PAY00000026,POL0010169,CUST002167,2025-07-03,500.0,Bank Transfer,Completed,0
PAY00000027,POL0011036,CUST008765,2021-11-20,63.7,Check,Failed,1
PAY00000028,POL0023273,CUST001466,2024-03-05,556.03,Auto Pay,Failed,1
PAY00000029,POL0037200,CUST014205,2023-05-02,3000.0,Credit Card,Completed,0
PAY00000030,POL0069565,CUST011593,2021-09-03,46.54,Credit Card,Completed,0
PAY00000031,POL0040201,CUST007176,2022-09-07,470.58,Auto Pay,Completed,1
